comp,conc,feed_num,protein_per,protein_source,mfr
PFOS,0.276,1,35,sb,A
PFOS,0.301,1,35,sb,A
PFOS,0.346,1,35,sb,A
PFOS,1.12,2,40,sb,A
PFOS,1.08,2,40,sb,A
PFOS,0.849,2,40,sb,A
PFOS,2.07,3,53,fm,B
PFOS,1.68,3,53,fm,B
PFOS,1.5,3,53,fm,B
PFOS,0.116,4,43,fm,C
PFOS,0.104,4,43,fm,C
PFOS,0.104,4,43,fm,C
PFOS,0.255,5,48,fm,C
PFOS,0.283,5,48,fm,C
PFOS,0.32,5,48,fm,C
PFOS,1.19,6,52,fm,C
PFOS,1.01,6,52,fm,C
PFOS,1.2,6,52,fm,C
PFOS,2.44,7,55,ap,A
PFOS,2.95,7,55,ap,A
PFOS,2.81,7,55,ap,A
PFOS,0.299,8,50,fm,D
PFOS,0.217,8,50,fm,D
PFOS,0.26,8,50,fm,D
PFOS,2.3,9,36,sb,E
PFOS,2.73,9,36,sb,E
PFOS,2.74,9,36,sb,E
PFOS,2.18,10,45,sb,B
PFOS,1.39,10,45,sb,B
PFOS,1.43,10,45,sb,B
PFOS,0.118,11,28,pp,D
PFOS,0.136,11,28,pp,D
PFOS,0.114,11,28,pp,D
PFOS,0.104,12,45,fm,C
PFOS,0.101,12,45,fm,C
PFOS,0.102,12,45,fm,C
PFOS,0.099,13,45,sb,D
PFOS,0.1,13,45,sb,D
PFOS,0.107,13,45,sb,D
PFNA,0.144,1,35,sb,A
PFNA,0.109,1,35,sb,A
PFNA,0.154,1,35,sb,A
PFNA,0.397,2,40,sb,A
PFNA,0.394,2,40,sb,A
PFNA,0.41,2,40,sb,A
PFNA,0.495,3,53,fm,B
PFNA,0.463,3,53,fm,B
PFNA,0.444,3,53,fm,B
PFNA,0.105,4,43,fm,C
PFNA,0.1,4,43,fm,C
PFNA,0.104,4,43,fm,C
PFNA,0.094,5,48,fm,C
PFNA,0.107,5,48,fm,C
PFNA,0.1,5,48,fm,C
PFNA,0.166,6,52,fm,C
PFNA,0.192,6,52,fm,C
PFNA,0.158,6,52,fm,C
PFNA,0.885,7,55,ap,A
PFNA,0.843,7,55,ap,A
PFNA,0.863,7,55,ap,A
PFNA,0.098,8,50,fm,D
PFNA,0.101,8,50,fm,D
